strain,time_hour_binned,hull_speed,instant_SA_dens,radius,count,instant_L_dens,instant_C_dens
A5,-40,232.7089525043,33746.0807481303,2.105732503532428,9,2175.9482126632233,0.009919460310992155
A5,-30,241.63831730785,27532.652451571557,2.1746138791250154,10,988.7370075254025,0.008572221746353954
A5,-20,232.2947288248,15034.92079364953,2.117690642463945,11,853.5789386668044,0.0026549010761696937
A5,-10,241.2668152452,15062.230192249397,2.191335244145968,20,774.7731761001451,0.003590699737111046
A5,0,262.9948647044,18833.87867712497,2.1956594939728795,33,965.5181491907946,0.004284869491881966
A5,10,256.5970579496,15048.081483038653,2.195704961004489,39,871.4232098336735,0.0032076284462347884
A5,20,248.2326096716,12515.612445159486,2.1717664904858687,27,699.4436429411213,0.0028428664837235737
A5,30,251.2126411172,13373.779233780646,2.174109509597546,26,702.762015076853,0.0029508730510420687
A5,40,245.9500918271,13767.80074413171,2.142518902360653,27,859.0997250325033,0.0034260037250630937
A5,50,243.908566967,13129.162004153211,2.1763944658827366,23,844.8556926553645,0.0030993711833830193
Agg,-100,,118463.21884646318,1.8797813010330515,6,7042.7716464528185,0.023084479098883476
Agg,-90,,95650.34998507914,1.8575253464065762,9,7317.946674287426,0.01859829143498558
Agg,-80,,102218.71300970795,1.8020602396574779,7,9907.56806687808,0.017298095950706766
Agg,-70,,85503.17395227774,1.7401690138757444,8,8123.77154070196,0.01307031589738055
Agg,-60,,82633.55727661695,1.7174932365690379,7,5900.230952926717,0.018154928049401102
Agg,-50,,57552.515013042525,1.6911787859842977,9,5466.93895571426,0.009860430685435581
Agg,-40,230.5720566053,56559.60606402897,2.0500631350330174,12,3421.5586590333014,0.013063763802125912
Agg,-30,169.8442020275,62001.67008336139,1.9329169844882461,13,4102.727838202414,0.012632241294807408
Agg,-20,160.20900411465,60308.36917060349,1.8848739250219222,15,4252.671417464914,0.012594768094852696
Agg,-10,229.19592857819998,78103.51972184256,1.9579249837684114,10,5439.287674046289,0.015496348182662274
Agg,0,162.5194459444,78884.34822661872,1.8239071758272862,12,5291.298485466403,0.015945203013474643
Agg,10,180.92402285949998,53586.708725859906,1.7910316950830338,17,4361.9938899604895,0.009796704586926585
Agg,20,167.4124621125,52029.650994567455,1.6860647273344125,19,4224.346578320315,0.011113813827761146
Agg,30,184.98874588815,42424.060098485956,1.7126262753181047,16,3219.8794516545977,0.008587983126111885
Agg,40,194.2103809474,52730.2586924232,1.7040906933270787,20,3737.6459105061085,0.010163275241071376
Agg,50,182.0297112232,63400.45507113733,1.7076109990743897,19,4540.833963797321,0.012011164043089313
C2,-60,199.53979239805,41438.71643104871,2.590261748251848,8,2562.7790035328644,0.012715773263963762
C2,-50,218.49164357155001,24642.829868001543,2.4183886524453806,20,1928.407693103199,0.005199276731243593
C2,-40,208.1529013883,31840.04863296846,2.0981409282571684,39,2105.2477682222366,0.00594225532504271
C2,-30,215.7416373144,31005.678449585503,2.0414579022245154,46,1874.9612214688104,0.006911048288854697
C2,-20,217.2653816156,32457.9879957611,2.075992413746396,63,1972.4796046427307,0.006503087000935156
C2,-10,234.03093757750003,31880.278307437333,2.055078237116096,85,1923.8420112774502,0.006757810276854242
C2,0,239.7988532374,33810.17222813734,2.085908759797166,93,1917.0966040247683,0.007856916419448344
C2,10,239.3625164539,31984.25485879805,2.0273525625089452,103,1958.6747250036997,0.00709582193092303
C2,20,239.15737894385,28066.34162531486,2.0490188767884603,98,1737.4902738740006,0.006461541734012966
C2,30,239.507095157,28773.537666711283,2.049103482118764,92,1745.4133733250571,0.00596636191062161
C2,40,241.5748692464,28063.855089185603,2.024442975572813,92,1737.3565610317792,0.006109799799395067
C2,50,235.6839421003,25891.442933240134,2.0025635571375564,91,1647.145247338816,0.005739972804908025
C3,-50,273.1829644104,34531.39242460812,2.664316966348016,4,-972.1691962395489,0.07573948488000795
C3,-30,255.1544600999,12121.280667520174,2.347615578402903,7,715.5629361150607,0.002817990390755631
C3,-20,293.67950399085,9673.138108612482,2.156095990542752,6,560.4184442407179,0.002133969395680297
C3,-10,262.8609118712,11895.727445838067,2.1014483909401975,6,773.0074446358436,0.003118134469900644
C3,0,242.5525931924,8521.210838867562,1.9164205532552885,7,565.9455624474771,0.0017857571885600875
C3,10,271.3878347983,9540.826434654442,1.876149624080225,7,658.6187616214588,0.0016961242083999917
C3,20,261.22747692580003,9167.0827837783,1.8486405882328585,4,617.7118935224053,0.0018178477612077588
C3,30,251.6669747293,8772.980127136421,1.8740716969769742,5,561.9202821658895,0.0017033115658109544
C3,40,244.3910099572,6481.221958917266,1.8884446633861505,5,410.6820778329171,0.0013951456263010256
C3,50,251.83779422785,8605.73499132906,2.2023500261615143,6,533.9891231905692,0.0018287950406056478
Clarum,-30,235.11050767245,24890.13842673999,2.221767366017108,6,1346.1348555198297,0.0061130906234535525
Clarum,-20,204.71040313745,16908.7650009799,2.0599512905991277,16,1001.2883245379223,0.005534951034813775
Clarum,-10,220.87299760234998,15726.964551036952,2.045379199944282,20,927.7433434015618,0.0037652765110239746
Clarum,0,222.58543453595001,19165.469905190177,2.109928764648137,20,945.2168783027638,0.004757958497118761
Clarum,10,224.8090056697,21406.46112466915,2.1357792608276815,21,1119.2715238268936,0.005215276537279994
Clarum,20,227.38138364965,21747.5962755363,2.100478573298954,20,1190.4415260568876,0.005393281305120692
Clarum,30,239.8076596602,18850.945894046443,2.0887539252154315,19,1051.4366146558132,0.004240587219105745
Clarum,40,242.03798057059998,19914.406037774555,2.096821131092315,20,1117.2428627838262,0.004842777367842338
Clarum,50,240.2810491789,16204.167289584157,2.0595577034498094,16,993.563162760518,0.0034805438591447883
