,instant_L_dens,fungalC
3634,414.4768857509821,100P/100N/100C
3635,334.7927037810106,100P/100N/100C
3636,319.0261990709746,100P/100N/100C
3639,440.08505859747237,100P/100N/100C
3640,550.7650117647922,100P/100N/100C
3643,657.5942360218451,100P/100N/100C
3644,693.722470208184,100P/100N/100C
3645,507.69285183868135,100P/100N/100C
3646,685.1469864778859,100P/100N/100C
3648,1150.5834835036494,100P/100N/100C
3651,2653.797017219528,100P/100N/100C
3652,2323.580850155005,100P/100N/100C
3655,1993.9457362627202,100P/100N/100C
3656,2289.2674605591446,100P/100N/100C
3657,2538.061551840646,100P/100N/100C
3658,2633.8675895293986,100P/100N/100C
3660,3755.069915607324,100P/100N/100C
3661,4072.846052191185,100P/100N/100C
3662,4652.496120372623,100P/100N/100C
3663,4208.382232805681,100P/100N/100C
3664,3966.741183497044,100P/100N/100C
3665,3411.5408033160297,100P/100N/100C
3666,3639.8591643987347,100P/100N/100C
3667,3212.0805513111054,100P/100N/100C
3668,3537.96685991858,100P/100N/100C
3671,2891.8878386163183,100P/100N/100C
3672,2855.673103685052,100P/100N/100C
3673,2683.268100436334,100P/100N/100C
3674,2118.4938785957665,100P/100N/100C
3675,2350.794702607878,100P/100N/100C
3676,2396.4037250322126,100P/100N/100C
3677,2277.2483829461535,100P/100N/100C
3678,2350.6277964123788,100P/100N/100C
3679,2625.822606063209,100P/100N/100C
3680,2332.038004144883,100P/100N/100C
3681,2318.3807652366477,100P/100N/100C
3682,2292.6795624329125,100P/100N/100C
3683,2151.390383991064,100P/100N/100C
3684,1988.6386053425406,100P/100N/100C
3685,1976.7055147361327,100P/100N/100C
3686,1905.7711282857351,100P/100N/100C
3687,1919.1440858391218,100P/100N/100C
3688,1950.2562170937194,100P/100N/100C
3689,2112.636687706862,100P/100N/100C
3690,2250.5256713558083,100P/100N/100C
3691,2104.1817752479533,100P/100N/100C
3692,2436.15435748775,100P/100N/100C
3693,2501.6509766327435,100P/100N/100C
3694,3067.4845328228175,100P/100N/100C
3695,4035.1190972902036,100P/100N/100C
3701,8859.466214593109,100P/100N/100C
3702,10288.243439768883,100P/100N/100C
3723,1990.6329249603612,100P/100N/100C
3724,1495.9772120860446,100P/100N/100C
3725,1454.8585467064368,100P/100N/100C
3726,2040.6082418278818,100P/100N/100C
3727,1375.7577137295937,100P/100N/100C
3728,2001.195464518385,100P/100N/100C
3729,2108.9784840642474,100P/100N/100C
3730,2119.8065704037613,100P/100N/100C
3731,1424.5470951889304,100P/100N/100C
3732,2004.2176802510055,100P/100N/100C
3733,1333.9247274259037,100P/100N/100C
3734,1193.7739974261353,100P/100N/100C
3735,335.66006893704673,100P/100N/100C
3736,5.2292855469641,100P/100N/100C
3737,-217.90722335266554,100P/100N/100C
3738,-189.52346936009715,100P/100N/100C
3740,534.7207124570604,100P/100N/100C
3741,4859.242502505644,100P/100N/100C
3742,9601.258847441379,100P/100N/100C
3745,2444.9979352357705,100P/100N/100C
3747,-608.6349416754525,100P/100N/100C
3751,5833.964404828475,100P/100N/100C
3752,7197.308000636475,100P/100N/100C
3756,3548.6153769004254,100P/100N/100C
3760,1605.2635816507764,100P/100N/100C
3761,-806.9816359939061,100P/100N/100C
3762,2073.1261632490136,100P/100N/100C
3763,1950.8224804244874,100P/100N/100C
3766,1355.4382709009367,100P/100N/100C
3767,-2286.1550519927987,100P/100N/100C
3769,-4229.059717283962,100P/100N/100C
3771,-756.8449277241957,100P/100N/100C
3779,19352.244596653516,100P/100N/100C
3781,-4290.9161605140935,100P/100N/100C
3800,12229.119667957097,100P/100N/100C
3836,-983.7719879824375,100P/100N/100C
3838,195.0116432437904,100P/100N/100C
3839,1361.3309785296017,100P/100N/100C
3840,1837.526280261965,100P/100N/100C
3841,1767.2772025876222,100P/100N/100C
3842,2130.7511872707732,100P/100N/100C
3843,2287.160271530098,100P/100N/100C
3844,2370.004127826611,100P/100N/100C
3845,2306.845130197612,100P/100N/100C
3846,2232.4515452547384,100P/100N/100C
3847,2037.872299526071,100P/100N/100C
3848,1899.8055165004844,100P/100N/100C
3849,1667.2130093135565,100P/100N/100C
3850,1741.9525809097418,100P/100N/100C
3851,1711.596416438431,100P/100N/100C
3852,1653.7168233094578,100P/100N/100C
3853,1630.865043445317,100P/100N/100C
3854,1599.9162752097945,100P/100N/100C
3855,1446.9894416507025,100P/100N/100C
3856,1635.1570762185702,100P/100N/100C
3857,1447.489409492968,100P/100N/100C
3858,1279.83421556396,100P/100N/100C
3859,1883.0576012932804,100P/100N/100C
3860,1715.9770241991378,100P/100N/100C
3861,1638.0668226342827,100P/100N/100C
3862,1712.5181623200494,100P/100N/100C
3863,1979.0117799242053,100P/100N/100C
3864,1355.9750376095021,100P/100N/100C
3865,1387.6254790137355,100P/100N/100C
3866,1344.4025871324743,100P/100N/100C
3867,1328.7715097068574,100P/100N/100C
3868,1157.0041870866382,100P/100N/100C
3869,1337.0679960912757,100P/100N/100C
3870,1544.980082589956,100P/100N/100C
3871,1670.4928553392742,100P/100N/100C
3872,1877.2742710286595,100P/100N/100C
3873,2025.9451745304968,100P/100N/100C
3874,2037.8733259409562,100P/100N/100C
3875,2053.1302808166606,100P/100N/100C
3876,1955.486064039969,100P/100N/100C
3900,-148.3239239804378,100P/100N/100C
3901,-472.9582848888461,100P/100N/100C
3902,-163.0114298868306,100P/100N/100C
3903,-5.1228945136899675,100P/100N/100C
